Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
HS041_S92_L004_R2_001	HS041_S92_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54403283.0	5.4 Gbp	0.0	10-101	53.0	40.898792995451	99.52813568254695	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	warn
HS042_S93_L004_R1_001	HS042_S93_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49363079.0	4.9 Gbp	0.0	10-101	53.0	29.468160936898556	99.45669758565911	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
HS042_S93_L004_R2_001	HS042_S93_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49363079.0	4.9 Gbp	0.0	10-101	52.0	36.535472617658016	99.49897383832155	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	warn
HS043_S94_L004_R1_001	HS043_S94_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50144122.0	5 Gbp	0.0	10-101	51.0	12.256293300205085	99.41462770053089	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
HS043_S94_L004_R2_001	HS043_S94_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50144122.0	5 Gbp	0.0	10-101	50.0	21.9805398753118	99.46550106112139	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	fail	warn
HS044_S95_L004_R1_001	HS044_S95_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75347911.0	7.5 Gbp	0.0	10-101	52.0	71.19434857439155	99.34781918506009	100	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	pass
HS044_S95_L004_R2_001	HS044_S95_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75347911.0	7.5 Gbp	0.0	10-101	52.0	73.94705607992674	99.38904870235885	100	pass	pass	warn	pass	fail	warn	pass	warn	pass	warn	pass
HS045_S96_L004_R1_001	HS045_S96_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40130894.0	4 Gbp	0.0	10-101	52.0	61.63161568449132	99.41429149323213	100	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	pass
HS045_S96_L004_R2_001	HS045_S96_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40130894.0	4 Gbp	0.0	10-101	51.0	64.82764126517517	99.44697349627945	100	pass	pass	warn	pass	fail	warn	pass	warn	warn	fail	pass
HS046_S97_L004_R1_001	HS046_S97_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60124991.0	6 Gbp	0.0	10-101	53.0	44.85777835802931	99.48555707891914	100	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
